step,train_loss,val_loss,val_perplexity,lambda_max,cos_sim,lr_multiplier,total_training_time
0,9.012691497802734,9.011727237701416,8198.670104336885,0.009794427081942558,0.0,0.0,0
0,9.012691497802734,9.011727237701416,8198.670104336885,0.009794428944587708,0.0,0.0,0
1,9.011673927307129,9.011434555053711,8196.270846990708,-0.11744809150695801,0.0,0.0,0
2,9.011842727661133,9.01129961013794,8195.164876535844,-0.004473176319152117,0.0,0.0,0
3,9.012027740478516,9.012071228027343,8201.490852665498,0.0014976237434893847,0.0,0.0,0
4,9.011878967285156,9.0111873626709,8194.245041662009,-0.07959713041782379,0.0,0.0,0
5,9.012100219726562,9.011137008666992,8193.83243900335,0.09750676900148392,0.0,0.0,0
6,9.012685775756836,9.011497402191162,8196.78597533822,-0.10361415147781372,0.0,0.0,0.4405660629272461
7,9.011682510375977,8.976573181152343,7915.4607363560135,0.6302915811538696,-0.0011451439931988716,1.0,0.9070260524749756
8,8.961503982543945,8.918668365478515,7470.135113738764,1.2015020847320557,0.004849251359701157,1.0,1.358224868774414
9,8.91860580444336,8.845797634124756,6945.141533154825,1.2346315383911133,0.0021849283948540688,1.0,1.8132297992706299
10,8.83906364440918,8.770689296722413,6442.6118053771825,1.0172457695007324,0.0027507003396749496,1.0,2.2803685665130615
11,8.763493537902832,8.691104888916016,5949.752427889951,0.9543119072914124,0.0032931743189692497,1.0,2.7409636974334717
12,8.704469680786133,8.6105562210083,5489.301093402,0.878433883190155,-0.0033990207593888044,1.0,3.1788816452026367
0,9.012691497802734,9.011727237701416,8198.670104336885,0.009794427081942558,0.0,0.0,0
1,9.011673927307129,9.011434555053711,8196.270846990708,-0.11744809150695801,0.0,0.0,0
2,9.011842727661133,9.01129961013794,8195.164876535844,-0.0044731758534908295,0.0,0.0,0
3,9.012027740478516,9.012071228027343,8201.490852665498,0.0014976239763200283,0.0,0.0,0
4,9.011878967285156,9.0111873626709,8194.245041662009,-0.07959713041782379,0.0,0.0,0
5,9.012100219726562,9.011137008666992,8193.83243900335,0.09750676155090332,0.0,0.0,0
6,9.012685775756836,9.011497402191162,8196.78597533822,-0.10361415147781372,0.0,0.0,0.4538249969482422
7,9.011682510375977,8.976573181152343,7915.4607363560135,0.6302915811538696,-0.0011451432947069407,1.0,0.8920331001281738
8,8.961503982543945,8.918668365478515,7470.135113738764,1.2015018463134766,0.004849251359701157,1.0,1.3271479606628418
9,8.91860580444336,8.845797634124756,6945.141533154825,1.2346315383911133,0.0021849293261766434,1.0,1.7698819637298584
10,8.83906364440918,8.770689392089844,6442.61241979255,1.0172460079193115,0.0027506996411830187,1.0,2.215864896774292
11,8.763493537902832,8.691104984283447,5949.752995302584,0.9543119668960571,0.003293174086138606,1.0,2.652878761291504
12,8.704469680786133,8.6105562210083,5489.301093402,0.878433883190155,-0.0033990205265581608,1.0,3.0966436862945557
13,8.576375961303711,8.522318363189697,5025.691639662847,0.684420108795166,-0.0014171840157359838,1.0,3.533285617828369
14,8.515881538391113,8.447193622589111,4661.971109644789,0.641767144203186,-0.010542464442551136,0.9800286293029787,3.9761345386505127
15,8.422155380249023,8.388146495819091,4394.6646114483165,0.6458574533462524,-0.00038015219615772367,0.7143192768096925,4.417047500610352
16,8.362686157226562,8.347984504699706,4221.663419919346,0.5754313468933105,0.0037752953357994556,0.4497714996337891,4.8794636726379395
17,8.400915145874023,8.33308515548706,4159.229648619965,0.5762706995010376,-0.005609389394521713,0.1723217964172365,5.342540502548218
0,9.01171875,9.01224069595337,8202.880860088135,0.16316017508506775,0.0,0.0,0
1,9.011967658996582,9.01199131011963,8200.835432866657,-0.07346600294113159,0.0,0.0,0
